time=2026-02-21T12:39:45.103Z level=INFO source=routes.go:1636 msg="server config" env="map[CUDA_VISIBLE_DEVICES:0 GGML_VK_VISIBLE_DEVICES: GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY: HTTP_PROXY: NO_PROXY: OLLAMA_CONTEXT_LENGTH:0 OLLAMA_DEBUG:INFO OLLAMA_EDITOR: OLLAMA_FLASH_ATTENTION:false OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://127.0.0.1:11434 OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MODELS:/mnt/scratchc/fmlab/zuberi01/.ollama/models OLLAMA_MULTIUSER_CACHE:false OLLAMA_NEW_ENGINE:false OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_REMOTES:[ollama.com] OLLAMA_SCHED_SPREAD:false OLLAMA_VULKAN:false ROCR_VISIBLE_DEVICES: http_proxy: https_proxy: no_proxy:]"
time=2026-02-21T12:39:45.105Z level=INFO source=images.go:473 msg="total blobs: 10"
time=2026-02-21T12:39:45.106Z level=INFO source=images.go:480 msg="total unused blobs removed: 0"
time=2026-02-21T12:39:45.106Z level=INFO source=routes.go:1689 msg="Listening on 127.0.0.1:11434 (version 0.16.1)"
time=2026-02-21T12:39:45.107Z level=INFO source=runner.go:67 msg="discovering available GPUs..."
time=2026-02-21T12:39:45.108Z level=WARN source=runner.go:485 msg="user overrode visible devices" CUDA_VISIBLE_DEVICES=0
time=2026-02-21T12:39:45.108Z level=WARN source=runner.go:489 msg="if GPUs are not correctly discovered, unset and try again"
time=2026-02-21T12:39:45.108Z level=INFO source=runner.go:106 msg="experimental Vulkan support disabled.  To enable, set OLLAMA_VULKAN=1"
time=2026-02-21T12:39:45.109Z level=INFO source=server.go:431 msg="starting runner" cmd="/home/zuberi01/.local/bin/ollama runner --ollama-engine --port 42573"
time=2026-02-21T12:39:45.246Z level=INFO source=server.go:431 msg="starting runner" cmd="/home/zuberi01/.local/bin/ollama runner --ollama-engine --port 41265"
time=2026-02-21T12:39:45.340Z level=INFO source=server.go:431 msg="starting runner" cmd="/home/zuberi01/.local/bin/ollama runner --ollama-engine --port 46093"
time=2026-02-21T12:39:45.471Z level=INFO source=types.go:42 msg="inference compute" id=GPU-6b0dd554-2cfb-d8e9-b110-af4c78174143 filter_id="" library=CUDA compute=8.9 name=CUDA0 description="NVIDIA L40S" libdirs=ollama,cuda_v12 driver=12.3 pci_id=0000:ca:00.0 type=discrete total="45.0 GiB" available="44.5 GiB"
time=2026-02-21T12:39:45.471Z level=INFO source=routes.go:1739 msg="vram-based default context" total_vram="45.0 GiB" default_num_ctx=32768
[GIN] 2026/02/21 - 12:39:45 | 200 |     119.394µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:39:45 | 200 |       36.87µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:39:45 | 200 |     832.678µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/02/21 - 12:39:45 | 200 |    1.205367ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/02/21 - 12:39:45 | 200 |      51.508µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:39:45 | 200 |    1.212407ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/02/21 - 12:39:45 | 200 |        38.3µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:39:45 | 200 |     1.16994ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/02/21 - 12:39:45 | 200 |      32.404µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:39:45 | 200 |     107.069µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:39:45 | 404 |     858.861µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/02/21 - 12:39:45 | 200 |       49.06µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:39:46 | 200 |  209.548756ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/02/21 - 12:39:46 | 200 |      51.355µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:39:46 | 404 |     847.462µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/02/21 - 12:39:46 | 200 |      50.395µs |       127.0.0.1 | HEAD     "/"
time=2026-02-21T12:39:46.346Z level=INFO source=download.go:179 msg="downloading f5074b1221da in 16 273 MB part(s)"
[GIN] 2026/02/21 - 12:39:59 | 200 | 13.439387407s |       127.0.0.1 | POST     "/api/pull"
[GIN] 2026/02/21 - 12:39:59 | 200 | 13.658332871s |       127.0.0.1 | POST     "/api/pull"
