time=2026-02-21T12:41:00.739Z level=INFO source=routes.go:1636 msg="server config" env="map[CUDA_VISIBLE_DEVICES:0 GGML_VK_VISIBLE_DEVICES: GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY: HTTP_PROXY: NO_PROXY: OLLAMA_CONTEXT_LENGTH:0 OLLAMA_DEBUG:INFO OLLAMA_EDITOR: OLLAMA_FLASH_ATTENTION:false OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://127.0.0.1:11434 OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MODELS:/mnt/scratchc/fmlab/zuberi01/.ollama/models OLLAMA_MULTIUSER_CACHE:false OLLAMA_NEW_ENGINE:false OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_REMOTES:[ollama.com] OLLAMA_SCHED_SPREAD:false OLLAMA_VULKAN:false ROCR_VISIBLE_DEVICES: http_proxy: https_proxy: no_proxy:]"
time=2026-02-21T12:41:00.771Z level=INFO source=images.go:473 msg="total blobs: 15"
time=2026-02-21T12:41:00.779Z level=INFO source=images.go:480 msg="total unused blobs removed: 5"
time=2026-02-21T12:41:00.779Z level=INFO source=routes.go:1689 msg="Listening on 127.0.0.1:11434 (version 0.16.1)"
time=2026-02-21T12:41:00.783Z level=INFO source=runner.go:67 msg="discovering available GPUs..."
time=2026-02-21T12:41:00.783Z level=WARN source=runner.go:485 msg="user overrode visible devices" CUDA_VISIBLE_DEVICES=0
time=2026-02-21T12:41:00.783Z level=WARN source=runner.go:489 msg="if GPUs are not correctly discovered, unset and try again"
time=2026-02-21T12:41:00.784Z level=INFO source=server.go:431 msg="starting runner" cmd="/home/zuberi01/.local/bin/ollama runner --ollama-engine --port 38147"
time=2026-02-21T12:41:00.983Z level=INFO source=server.go:431 msg="starting runner" cmd="/home/zuberi01/.local/bin/ollama runner --ollama-engine --port 41495"
time=2026-02-21T12:41:01.129Z level=INFO source=runner.go:106 msg="experimental Vulkan support disabled.  To enable, set OLLAMA_VULKAN=1"
time=2026-02-21T12:41:01.130Z level=INFO source=server.go:431 msg="starting runner" cmd="/home/zuberi01/.local/bin/ollama runner --ollama-engine --port 34917"
time=2026-02-21T12:41:01.325Z level=INFO source=types.go:42 msg="inference compute" id=GPU-9e87b52d-3753-197e-41a3-254841645bd8 filter_id="" library=CUDA compute=8.9 name=CUDA0 description="NVIDIA L40S" libdirs=ollama,cuda_v12 driver=12.3 pci_id=0000:4a:00.0 type=discrete total="45.0 GiB" available="44.5 GiB"
time=2026-02-21T12:41:01.325Z level=INFO source=routes.go:1739 msg="vram-based default context" total_vram="45.0 GiB" default_num_ctx=32768
[GIN] 2026/02/21 - 12:41:01 | 200 |     113.574µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:41:01 | 200 |    2.573315ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/02/21 - 12:41:01 | 200 |      71.815µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:41:01 | 200 |    1.271914ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/02/21 - 12:41:01 | 200 |      86.794µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:41:01 | 200 |  200.147458ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/02/21 - 12:41:02 | 200 |       57.86µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:41:02 | 404 |     994.611µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/02/21 - 12:41:02 | 200 |      55.508µs |       127.0.0.1 | HEAD     "/"
time=2026-02-21T12:41:02.806Z level=INFO source=download.go:179 msg="downloading f5074b1221da in 16 273 MB part(s)"
[GIN] 2026/02/21 - 12:41:07 | 200 |      46.679µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:41:07 | 200 |    2.222331ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/02/21 - 12:41:07 | 200 |      66.918µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:41:07 | 200 |    2.119819ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/02/21 - 12:41:07 | 200 |      33.847µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:41:07 | 200 |    202.9043ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/02/21 - 12:41:07 | 200 |      64.846µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:41:07 | 404 |    1.053854ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/02/21 - 12:41:07 | 200 |      59.584µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:41:08 | 200 |  6.869571132s |       127.0.0.1 | POST     "/api/pull"
[GIN] 2026/02/21 - 12:41:08 | 200 |  1.171061953s |       127.0.0.1 | POST     "/api/pull"
