time=2026-02-21T12:42:02.665Z level=INFO source=routes.go:1636 msg="server config" env="map[CUDA_VISIBLE_DEVICES:0 GGML_VK_VISIBLE_DEVICES: GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY: HTTP_PROXY: NO_PROXY: OLLAMA_CONTEXT_LENGTH:0 OLLAMA_DEBUG:INFO OLLAMA_EDITOR: OLLAMA_FLASH_ATTENTION:false OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://127.0.0.1:11434 OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MODELS:/mnt/scratchc/fmlab/zuberi01/.ollama/models OLLAMA_MULTIUSER_CACHE:false OLLAMA_NEW_ENGINE:false OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_REMOTES:[ollama.com] OLLAMA_SCHED_SPREAD:false OLLAMA_VULKAN:false ROCR_VISIBLE_DEVICES: http_proxy: https_proxy: no_proxy:]"
time=2026-02-21T12:42:02.677Z level=INFO source=images.go:473 msg="total blobs: 12"
time=2026-02-21T12:42:02.682Z level=INFO source=images.go:480 msg="total unused blobs removed: 2"
time=2026-02-21T12:42:02.682Z level=INFO source=routes.go:1689 msg="Listening on 127.0.0.1:11434 (version 0.16.1)"
time=2026-02-21T12:42:02.686Z level=INFO source=runner.go:67 msg="discovering available GPUs..."
time=2026-02-21T12:42:02.686Z level=WARN source=runner.go:485 msg="user overrode visible devices" CUDA_VISIBLE_DEVICES=0
time=2026-02-21T12:42:02.686Z level=WARN source=runner.go:489 msg="if GPUs are not correctly discovered, unset and try again"
time=2026-02-21T12:42:02.686Z level=INFO source=runner.go:106 msg="experimental Vulkan support disabled.  To enable, set OLLAMA_VULKAN=1"
time=2026-02-21T12:42:02.688Z level=INFO source=server.go:431 msg="starting runner" cmd="/home/zuberi01/.local/bin/ollama runner --ollama-engine --port 38905"
time=2026-02-21T12:42:02.913Z level=INFO source=server.go:431 msg="starting runner" cmd="/home/zuberi01/.local/bin/ollama runner --ollama-engine --port 39399"
time=2026-02-21T12:42:03.047Z level=INFO source=server.go:431 msg="starting runner" cmd="/home/zuberi01/.local/bin/ollama runner --ollama-engine --port 34969"
time=2026-02-21T12:42:03.245Z level=INFO source=types.go:42 msg="inference compute" id=GPU-64237a38-b592-b569-f86b-934a7de32170 filter_id="" library=CUDA compute=8.9 name=CUDA0 description="NVIDIA L40S" libdirs=ollama,cuda_v12 driver=12.3 pci_id=0000:61:00.0 type=discrete total="45.0 GiB" available="44.5 GiB"
time=2026-02-21T12:42:03.245Z level=INFO source=routes.go:1739 msg="vram-based default context" total_vram="45.0 GiB" default_num_ctx=32768
[GIN] 2026/02/21 - 12:42:03 | 200 |       113.3µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:42:03 | 200 |    2.090147ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/02/21 - 12:42:03 | 200 |       61.54µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:42:03 | 200 |    1.361855ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/02/21 - 12:42:03 | 200 |      54.956µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:42:03 | 200 |  206.605535ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/02/21 - 12:42:03 | 200 |      62.244µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:42:03 | 404 |     989.824µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/02/21 - 12:42:03 | 200 |      57.169µs |       127.0.0.1 | HEAD     "/"
time=2026-02-21T12:42:04.536Z level=INFO source=download.go:179 msg="downloading f5074b1221da in 16 273 MB part(s)"
[GIN] 2026/02/21 - 12:42:07 | 200 |      46.793µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:42:07 | 200 |     1.54618ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/02/21 - 12:42:07 | 200 |      57.301µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:42:07 | 200 |    1.033694ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/02/21 - 12:42:07 | 200 |      41.835µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:42:07 | 404 |     643.056µs |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/02/21 - 12:42:07 | 200 |      61.041µs |       127.0.0.1 | HEAD     "/"
[GIN] 2026/02/21 - 12:42:11 | 200 |   7.80934133s |       127.0.0.1 | POST     "/api/pull"
[GIN] 2026/02/21 - 12:42:11 | 200 |  3.797040595s |       127.0.0.1 | POST     "/api/pull"
