shard_id,shard_name,shard_file,episode_count
1,shard_0001,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0001/shard_input.jsonl,2
2,shard_0002,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0002/shard_input.jsonl,2
3,shard_0003,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0003/shard_input.jsonl,2
4,shard_0004,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0004/shard_input.jsonl,2
5,shard_0005,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0005/shard_input.jsonl,2
6,shard_0006,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0006/shard_input.jsonl,2
7,shard_0007,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0007/shard_input.jsonl,2
8,shard_0008,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0008/shard_input.jsonl,2
9,shard_0009,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0009/shard_input.jsonl,2
10,shard_0010,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0010/shard_input.jsonl,2
11,shard_0011,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0011/shard_input.jsonl,2
12,shard_0012,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0012/shard_input.jsonl,2
13,shard_0013,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0013/shard_input.jsonl,2
14,shard_0014,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0014/shard_input.jsonl,2
15,shard_0015,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0015/shard_input.jsonl,2
16,shard_0016,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0016/shard_input.jsonl,2
17,shard_0017,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0017/shard_input.jsonl,2
18,shard_0018,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0018/shard_input.jsonl,2
19,shard_0019,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0019/shard_input.jsonl,2
20,shard_0020,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0020/shard_input.jsonl,2
21,shard_0021,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0021/shard_input.jsonl,2
22,shard_0022,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0022/shard_input.jsonl,2
23,shard_0023,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0023/shard_input.jsonl,2
24,shard_0024,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0024/shard_input.jsonl,2
25,shard_0025,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0025/shard_input.jsonl,1
26,shard_0026,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0026/shard_input.jsonl,1
27,shard_0027,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0027/shard_input.jsonl,1
28,shard_0028,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0028/shard_input.jsonl,1
29,shard_0029,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0029/shard_input.jsonl,1
30,shard_0030,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0030/shard_input.jsonl,1
31,shard_0031,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0031/shard_input.jsonl,1
32,shard_0032,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0032/shard_input.jsonl,1
33,shard_0033,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0033/shard_input.jsonl,1
34,shard_0034,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0034/shard_input.jsonl,1
35,shard_0035,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0035/shard_input.jsonl,1
36,shard_0036,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0036/shard_input.jsonl,1
37,shard_0037,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0037/shard_input.jsonl,1
38,shard_0038,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0038/shard_input.jsonl,1
39,shard_0039,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0039/shard_input.jsonl,1
40,shard_0040,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0040/shard_input.jsonl,1
41,shard_0041,/mnt/scratchc/fmlab/zuberi01/phd/color-bypass-bench/results/color_bypass_followup_more_20260221_123919/shards/shard_0041/shard_input.jsonl,1
